date,city,channel,orders_count,unique_customers,items_sold,gross_revenue_eur,refunds_eur,net_revenue_eur
2025-03-22,Lille,app,3,3,20,181.1,19.3,200.4
2025-03-22,Lyon,web,6,6,48,517.4,0.0,517.4
2025-03-22,Lyon,app,9,9,57,538.2,14.65,552.85
2025-03-22,Lille,web,3,3,12,166.4,0.0,166.4
2025-03-22,Toulouse,web,3,3,19,207.1,13.18,220.28
2025-03-22,Paris,web,6,6,46,544.8,0.0,544.8
2025-03-22,Marseille,app,4,4,27,406.5,48.14,454.64
2025-03-22,Toulouse,app,7,7,52,497.5,38.16,535.66
2025-03-22,Nice,app,3,3,16,128.7,41.82,170.52
2025-03-22,Bordeaux,web,3,3,8,109.4,5.15,114.55
2025-03-22,Paris,app,3,3,19,167.0,0.0,167.0
2025-03-22,Nantes,web,6,5,54,532.9,0.0,532.9
2025-03-22,Bordeaux,app,8,8,64,637.9,0.0,637.9
2025-03-22,Marseille,web,7,6,51,493.9,16.36,510.26
2025-03-22,Nantes,app,3,3,21,120.5,37.07,157.57
2025-03-22,Nice,web,2,2,5,94.5,12.48,106.98
